,sentence,nmb_sent,author,title,nmb_text
5,"- Я  живу в этом доме с мамой.- продолжил я- Пойдемте, мама поможет вам зашить юбку.",6,Евгений Кукаркин,Кристалл,100
6,"- Идите вы....      Она заколебалась, попробовала шагнуть, но разрез юбки разошелся и белая комбинация мелькнула снегом на черном фоне.",7,Евгений Кукаркин,Кристалл,100
7,- А впрочем... Ваша мама сейчас дома?,8,Евгений Кукаркин,Кристалл,100
8,- Да не бойтесь.,9,Евгений Кукаркин,Кристалл,100
9,Там она.,10,Евгений Кукаркин,Кристалл,100
10,Пойдемте.,11,Евгений Кукаркин,Кристалл,100
0,   ПРОЛОГ.,1,Евгений Кукаркин,А был ли мальчик?,101
1,Я  -  заключенный.,2,Евгений Кукаркин,А был ли мальчик?,101
2,"Сижу  в  колонии  строгого режима вместе со всякими подонками, полуподонками и, искалеченными душой, нормальными людьми и считаю дни до выхода на волю.",3,Евгений Кукаркин,А был ли мальчик?,101
3,"Местная сволочь, долго пыталась разобраться за что  я сижу.",4,Евгений Кукаркин,А был ли мальчик?,101
4,"Наконец,  решив, что я отравитель, сделала мне для начала ""темную"", а потом отстала, так как таких заключенных,  которые  отправили  на  тот  свет многих граждан СССР, здесь полно.",5,Евгений Кукаркин,А был ли мальчик?,101
5,"Здесь  я  -  лошадь,  это  значит-  вся грязная работа достается париям колонии, таким  отходам,  как  я.  Здесь  есть  и  элитная  погань,  которой достаются привилегированные рабочие места и деньги с ободранных лошадей.",6,Евгений Кукаркин,А был ли мальчик?,101
6,Наступила  весна  и  на  ржавой  траве  газонов  появились первые пятна зелени.,7,Евгений Кукаркин,А был ли мальчик?,101
0,   ПРОЛОГ      Во всем виноват Мишка.,1,Евгений Кукаркин,Во всем виноват Мишка,102
1,"Даже сейчас сидя под следствием, я все больше убеждаюсь,  что  во  всем виноват он.",2,Евгений Кукаркин,Во всем виноват Мишка,102
2,- Вам  знакома  эта  монета?,3,Евгений Кукаркин,Во всем виноват Мишка,102
3,- спрашивает сидящий напротив толстолицый очкарик.,4,Евгений Кукаркин,Во всем виноват Мишка,102
4,Это мой следователь.,5,Евгений Кукаркин,Во всем виноват Мишка,102
5,Я беру монету в руки и ощущаю ее парящую легкость.,6,Евгений Кукаркин,Во всем виноват Мишка,102
6,"Так вот она где, моя третья монета.",7,Евгений Кукаркин,Во всем виноват Мишка,102
7,"Мерзавец Мишка уверял меня, что его  избили,  а  все  монеты, которые я ему передал, отняли.",8,Евгений Кукаркин,Во всем виноват Мишка,102
8,"Он просто, две монеты отдал в органы.",9,Евгений Кукаркин,Во всем виноват Мишка,102
9,- Да.,10,Евгений Кукаркин,Во всем виноват Мишка,102
10,- Кто вам заказал их?,11,Евгений Кукаркин,Во всем виноват Мишка,102
11,"- Мишка, Мишка Симаков.",12,Евгений Кукаркин,Во всем виноват Мишка,102
12,- Симаков  утверждает  обратное.,13,Евгений Кукаркин,Во всем виноват Мишка,102
13,"Вы сами, для неизвестных целей сделали этот рубль.",14,Евгений Кукаркин,Во всем виноват Мишка,102
0,    * ЧАСТЬ ПЕРВАЯ *   ЗЕЛЕНЫЙ ПОЯС СТРАЖИ         Полковник милиции прихлебывал чай и с усмешкой глядел на меня.,1,Евгений Кукаркин,Метод беззакония,103
1,"- Так значит, хочешь уехать из города?",2,Евгений Кукаркин,Метод беззакония,103
2,- Да.,3,Евгений Кукаркин,Метод беззакония,103
3,Одной рукой он взял бумагу из папки.,4,Евгений Кукаркин,Метод беззакония,103
4,"- Пограничные войска,- это хорошо.",5,Евгений Кукаркин,Метод беззакония,103
5,И где служил?,6,Евгений Кукаркин,Метод беззакония,103
6,- В Забайкальске.,7,Евгений Кукаркин,Метод беззакония,103
7,- Хочешь в стражи порядка?,8,Евгений Кукаркин,Метод беззакония,103
8,- А это что такое?,9,Евгений Кукаркин,Метод беззакония,103
9,Он усмехнулся.,10,Евгений Кукаркин,Метод беззакония,103
10,- Охрана наших лесов.,11,Евгений Кукаркин,Метод беззакония,103
11,- Лесником что-ли?,12,Евгений Кукаркин,Метод беззакония,103
12,- Нет.,13,Евгений Кукаркин,Метод беззакония,103
13,Гораздо больше.,14,Евгений Кукаркин,Метод беззакония,103
14,Очищать леса от плохих людей.,15,Евгений Кукаркин,Метод беззакония,103
15,В  принципе  мне было все равно.,16,Евгений Кукаркин,Метод беззакония,103
16,"Так хотелось убраться из этого города, что я готов уехать хоть на край света.",17,Евгений Кукаркин,Метод беззакония,103
17,И все это Валька.,18,Евгений Кукаркин,Метод беззакония,103
0,   ЛЕС.,1,Евгений Кукаркин,Трофейщик,104
1,Июль 1987г.,2,Евгений Кукаркин,Трофейщик,104
2,"- Ну, здравствуй, Самсонов.",3,Евгений Кукаркин,Трофейщик,104
3,Из кустов вышел одетый в гражданское капитан Николаев.,4,Евгений Кукаркин,Трофейщик,104
4,В руке он держал недоеденную булку с колбасой.,5,Евгений Кукаркин,Трофейщик,104
5,- Давно тебя жду.,6,Евгений Кукаркин,Трофейщик,104
6,Никак ты сегодня с большим уловом?,7,Евгений Кукаркин,Трофейщик,104
7,Сзади  меня  хрустнула  ветка.,8,Евгений Кукаркин,Трофейщик,104
8,"На тропинке стояли два здоровых парня, с равнодушными физиономиями.",9,Евгений Кукаркин,Трофейщик,104
9,"- Ты не снимай рюкзак, пройдемся до машины и там разберемся.",10,Евгений Кукаркин,Трофейщик,104
10,"В почетном окружении, с нехорошим предчувствием, я двинулся к дороге.",11,Евгений Кукаркин,Трофейщик,104
11,"У черной ""Волги"" мы остановились.",12,Евгений Кукаркин,Трофейщик,104
12,"- Ну, что там у тебя, показывай.",13,Евгений Кукаркин,Трофейщик,104
13,Я снял рюкзак и раскрыл его.,14,Евгений Кукаркин,Трофейщик,104
14,"- Ого, - сказал капитан и вытащил за ствол  ""шмайсер"",  -  Ты  посмотри только, в каком отличном состоянии.",15,Евгений Кукаркин,Трофейщик,104
0,   ЗАЩИТА.,1,Евгений Кукаркин,Урок истории,105
1,"- Я   утверждаю,  что  Святослав  в  сражении  под  Доростолом  не  был побежденным, как утверждают Византийские историки, он был победителем, - так заканчивал я свою диссертацию о Великом Князе Святославе.",2,Евгений Кукаркин,Урок истории,105
2,"-  Действительно, продержись  Святослав  в  Доростоле  еще  неделю  и  тогда  неизвестно какие печальные события могли бы произойти.",3,Евгений Кукаркин,Урок истории,105
3,"Император  греческий  Иоан  Цимиский, спешил  на  любых  условиях  заключить  мир,  так  как боялся потерять вечно шатающийся  трон.",4,Евгений Кукаркин,Урок истории,105
4,"Он  рвался  в  Константинополь,  потому  что  знал,   что сторонники  свергнутого  им  императора Никифора вот-вот возведут на престол его отпрыска, Феофана.",5,Евгений Кукаркин,Урок истории,105
5,"Вечно враждующие полководцы Фока  и  Склир  не  могли заменить  его  под  Доростолом  и  не  было  к  ним  доверия после страшного поражения от росичей под Адрианополем, которое было за год до  Доростола.",6,Евгений Кукаркин,Урок истории,105
0,   ПРОЛОГ       Мы стояли по стойке смирно перед адмиралом и ели его глазами.,1,Евгений Кукаркин,Принц,106
1,"- Значит решили по выпендриваться, показать себя.",2,Евгений Кукаркин,Принц,106
2,Адмирал подскочил к моему лицу и заорал прямо в нос.,3,Евгений Кукаркин,Принц,106
3,- Кто разрешил?,4,Евгений Кукаркин,Принц,106
4,"Я знаю, это все твои штучки.",5,Евгений Кукаркин,Принц,106
5,Я молчу и гляжу в его бешеные глаза.,6,Евгений Кукаркин,Принц,106
6,"Он отошел  и  проскочив  мимо  нас туда и обратно, вдруг застопорил.",7,Евгений Кукаркин,Принц,106
7,"- Еще  одна  такая выходка и я вас... спишу, выгоню, уничтожу... Пижоны говняные.",8,Евгений Кукаркин,Принц,106
8,"Все, адмирал выдохся и спустил пары, теперь пойдет деловой разговор.",9,Евгений Кукаркин,Принц,106
9,"- Потери, есть?",10,Евгений Кукаркин,Принц,106
10,- это уже спокойный голос.,11,Евгений Кукаркин,Принц,106
11,- Да.,12,Евгений Кукаркин,Принц,106
12,Четверо убитых и четверо раненых.,13,Евгений Кукаркин,Принц,106
0,"        Если  бы  не  это  сраное  слово  ""перестройка"",  может  быть Союз и не развалился и было бы в стране больше порядка.",1,Евгений Кукаркин,Беженцы,107
1,"Когда в нашей  чайхане,  вдруг Ибрагим,  отъявленный  бездельник,  плут и мошенник заявляет, что его родину закабалили русские, а бедные  туркмены  стали  их  прислужниками,  то  я  не стерпел  и  врезал  ему  по  роже.",2,Евгений Кукаркин,Беженцы,107
2,"И  что  же...  Окружающие туркмены стали возмущаться  и  пообещали  мне  отомстить,  а  русские  пьянчуги  ругали  за ""национализм"".",3,Евгений Кукаркин,Беженцы,107
3,"Наши-то  хороши,  как будто не видят, что вокруг происходит.",4,Евгений Кукаркин,Беженцы,107
4,"Русских везде стали задирать, травить, грабить и даже  убивать,  а  они  как овечки.",5,Евгений Кукаркин,Беженцы,107
5,А эти... даже защищают их.,6,Евгений Кукаркин,Беженцы,107
0,"   ПРОЛОГ      АД      - Лекарь, вставай.",1,Евгений Кукаркин,Рай,108
1,Меня тряс за плечо мой сосед по койке.,2,Евгений Кукаркин,Рай,108
2,"- Слышишь, - продолжил он, - наши начали.",3,Евгений Кукаркин,Рай,108
3,"Где-то  внизу  раздавался  грохот,  крики.",4,Евгений Кукаркин,Рай,108
4,Казарма  ходила  ходуном.,5,Евгений Кукаркин,Рай,108
5,"Я натянул штаны, куртку и бросился за соседом вниз по лестнице.",6,Евгений Кукаркин,Рай,108
6,"- Лекарь, где лекарь?",7,Евгений Кукаркин,Рай,108
7,- заорал чей-то голос.,8,Евгений Кукаркин,Рай,108
8,- Лекаря сюда.,9,Евгений Кукаркин,Рай,108
9,- Здесь он.,10,Евгений Кукаркин,Рай,108
10,"Здесь, - ответил криком сосед.",11,Евгений Кукаркин,Рай,108
11,"Меня схватили под локти и поволокли по второму этажу  в  угол,  где  на койках  уже лежали два человека.",12,Евгений Кукаркин,Рай,108
12,"Грохнул выстрел, за ним дробью отразили эхо выстрелов  пулемета  с  вышки,  своды  казармы.",13,Евгений Кукаркин,Рай,108
13,Зазвенели  стекла.,14,Евгений Кукаркин,Рай,108
14,Кто-то закричал.,15,Евгений Кукаркин,Рай,108
15,"- Крошку, убили, - сказал кто-то у двери.",16,Евгений Кукаркин,Рай,108
0,"       Господи, до чего же мы долго летим.",1,Евгений Кукаркин,Сначала страх...,109
1,"Все оживлены, болтают, а мне тошно.",2,Евгений Кукаркин,Сначала страх...,109
2,"Со мной   сидит   сержант   Копылов,  здоровенный  парень  из  Удмуртии.",3,Евгений Кукаркин,Сначала страх...,109
3,"Он механник-водитель, служит последний год и  сейчас,  развалившись  в  кресле, храпит и ему хоть бы что.",4,Евгений Кукаркин,Сначала страх...,109
4,А мне хочется выть.,5,Евгений Кукаркин,Сначала страх...,109
5,"- Пристегните  ремни,-  говорит  коротконогая  стюардесса,  беспрерывно крутящая задом перед нашим лейтенантом.",6,Евгений Кукаркин,Сначала страх...,109
6,"Я толкаю сержанта, он вздрагивает и протерев кулаком глаза, спрашивает.",7,Евгений Кукаркин,Сначала страх...,109
7,"- Что, прилетели?",8,Евгений Кукаркин,Сначала страх...,109
8,- Пристегни ремни.,9,Евгений Кукаркин,Сначала страх...,109
9,Спускаемся.,10,Евгений Кукаркин,Сначала страх...,109
10,- Вот сволочь.,11,Евгений Кукаркин,Сначала страх...,109
11,Прервал на интересном.,12,Евгений Кукаркин,Сначала страх...,109
12,Только с бабой познакомился  и  ты тут как тут.,13,Евгений Кукаркин,Сначала страх...,109
13,"Мы  спускаемся  и  вот  самолет  вздрогнул,  коснувшись  бетонки,  и мы покатили в надвигающиеся горы.",14,Евгений Кукаркин,Сначала страх...,109
0,        Анонс       Эксперт-аналитик  Дронго  живет в  ожидании  телефонного звонка.,1,Чингиз Абдуллаев,Дронго,11
1,"Каждый день, каждый  час.",2,Чингиз Абдуллаев,Дронго,11
2,На этот раз его  вызвали в США.,3,Чингиз Абдуллаев,Дронго,11
3,Целая цепочка  загадочных убийств  и  никаких следов.,4,Чингиз Абдуллаев,Дронго,11
4,"Но Дронго  знает: преступник  всегда  оставляет следы, даже если он человек-невидимка...    * ЧАСТЬ I *   ВСТРЕЧА       Преступные организации, организующие торговлю и контрабанду наркотиков, располагают самыми  современными техническими средствами,  хорошо налаженной агентурной сетью и большим, разветвленным штатом исполнителей.",5,Чингиз Абдуллаев,Дронго,11
5,"Борьба с ними в современных условиях становится еще более тяжелой, чем раньше.",6,Чингиз Абдуллаев,Дронго,11
6,Из   доклада   Постоянного   комитета   экспертов   по   предупреждению преступности и борьбе с ней при Экономическом и социальном совете ООН       Белград.,7,Чингиз Абдуллаев,Дронго,11
7,День первый       Самолет взял курс на Белград.,8,Чингиз Абдуллаев,Дронго,11
0,   ПРОЛОГ        Август.,1,Евгений Кукаркин,Я - кукла,110
1,Россия.,2,Евгений Кукаркин,Я - кукла,110
2,"- Ты поедешь на встречу не один, а с Лилией.",3,Евгений Кукаркин,Я - кукла,110
3,- сказал мне шеф.,4,Евгений Кукаркин,Я - кукла,110
4,"Лилия - новая  секретарша  шефа,  работает  третий  месяц.",5,Евгений Кукаркин,Я - кукла,110
5,"Крепкая,  с соблазнительными   формами   девица,   где-   то   двадцати   шести  лет,  с привлекательным  лицом  и  дурацкой  челкой,  наброшенной  на  глаза.",6,Евгений Кукаркин,Я - кукла,110
6,"Самое выразительное,  это  ее  длинные, пушистые ресницы.",7,Евгений Кукаркин,Я - кукла,110
7,"Сейчас ее глаза прикрыты ими, но я  знаю-  она  настороженно  смотрит  на  меня,  ожидая  реакции  на сообщение шефа.",8,Евгений Кукаркин,Я - кукла,110
8,- Зачем с ней?,9,Евгений Кукаркин,Я - кукла,110
9,- Ее задача- познакомить тебя с ними и обеспечить твое прикрытие.,10,Евгений Кукаркин,Я - кукла,110
10,"- Хорошие у нее знакомые, - и я вижу, как дрогнули ресницы Лилии.",11,Евгений Кукаркин,Я - кукла,110
11,"Я знаю, она здесь боится только меня.",12,Евгений Кукаркин,Я - кукла,110
0,    * ЧАСТЬ ПЕРВАЯ.,1,Евгений Кукаркин,Смерть всегда движется рядом,111
1,ЗНОЙ ПУСТЫНИ        Жара  изматывает все тело.,2,Евгений Кукаркин,Смерть всегда движется рядом,111
2,"Мы сидим в танке совсем раздетые, до трусов.",3,Евгений Кукаркин,Смерть всегда движется рядом,111
3,Бронь раскалена и притронутся к ней  практически  невозможно.,4,Евгений Кукаркин,Смерть всегда движется рядом,111
4,Пот  противно щиплет  глаза и обволакивает тело масляным блеском.,5,Евгений Кукаркин,Смерть всегда движется рядом,111
5,"Вентиляторы не помогают, горячий воздух пустыни всасывается внутрь  машины  и  тут  же  выталкивается обратно.",6,Евгений Кукаркин,Смерть всегда движется рядом,111
6,"- А  у  них  танки, говорят с холодильниками, - говорит мечтательно мой башнер, красный как рак от жгучего солнца здоровенный парень.",7,Евгений Кукаркин,Смерть всегда движется рядом,111
7,"- У них в  основном  немецкие  ""Леопарды"",  изготовлены  для  войны  на Севере.",8,Евгений Кукаркин,Смерть всегда движется рядом,111
8,"Они мучаются так же как и мы, - звучит снизу голос водителя.",9,Евгений Кукаркин,Смерть всегда движется рядом,111
9,- Не  думаю.,10,Евгений Кукаркин,Смерть всегда движется рядом,111
0,        Я  не верил своим глазам.,1,Евгений Кукаркин,Первый,112
1,"На ""Скайботах"" были опознавательные знаки ВВС Южного Вьетнама.",2,Евгений Кукаркин,Первый,112
2,"- Максимыч, - заорал я своему напарник, у  -  смотри,  никак  косые  на ""боты"" пересели.",3,Евгений Кукаркин,Первый,112
3,Не пощупать ли нам их крылышки?,4,Евгений Кукаркин,Первый,112
4,"- Давай, давай.",5,Евгений Кукаркин,Первый,112
5,"Щупай, щупай.",6,Евгений Кукаркин,Первый,112
6,"В микрофоны вместо Максимыча, залопотал голос с акцентом.",7,Евгений Кукаркин,Первый,112
7,"- Ах ты, сволочь.",8,Евгений Кукаркин,Первый,112
8,- Сама сволочь.,9,Евгений Кукаркин,Первый,112
9,"Быстро бросив взгляд на приборы, замечаю, что горючего минут на 6.",10,Евгений Кукаркин,Первый,112
10,Была не была.,11,Евгений Кукаркин,Первый,112
11,Вперед.,12,Евгений Кукаркин,Первый,112
12,"Делаю  чуть  заметный поворот и сейчас же ливень огненных струй обрушился в мою сторону от ""Скайбота"".",13,Евгений Кукаркин,Первый,112
13,"Еще  доворот,  и  почувствовав кожей  что  пора,  нажимаю  на  гашетку.",14,Евгений Кукаркин,Первый,112
0,        Первым их увидел Боря.,1,Евгений Кукаркин,Трудно быть героем,113
1,"- Комета, комета, я их вижу, они левее.",2,Евгений Кукаркин,Трудно быть героем,113
2,Комета.,3,Евгений Кукаркин,Трудно быть героем,113
3,- это наши позывные.,4,Евгений Кукаркин,Трудно быть героем,113
4,"Я летчик, Миша- оператор, летим  на  своем МИ-28  за  Борей, выдерживая дистанцию, метров триста.",5,Евгений Кукаркин,Трудно быть героем,113
5,"Я смотрю влево и вижу колонну грузовиков, пылящих по этой сухой без лесистой местности.",6,Евгений Кукаркин,Трудно быть героем,113
6,"- Мы их тоже видим, - отвечает мой напарник по внутренней связи      - Комета, я с головы, не давай им разбежаться.",7,Евгений Кукаркин,Трудно быть героем,113
7,Сепаратисты уже остановили колонну и начали  расползаться  от  машин  в разные  стороны.,8,Евгений Кукаркин,Трудно быть героем,113
8,За вертолетом Бори выпрыгивают белые хвосты противоракетной приманки.,9,Евгений Кукаркин,Трудно быть героем,113
9,"По нашим сведениям, проклятые ""стингеры"", уже закуплены  дудаевцам и  не  дай бог, если какой-нибудь придурок влепит эту пакость в наши машины.",10,Евгений Кукаркин,Трудно быть героем,113
0,        Военные  взбесились.,1,Евгений Кукаркин,Уборщики ада,114
1,Подавай  им  срочно офицеров-химиков запаса и все тут.,2,Евгений Кукаркин,Уборщики ада,114
2,На первую повестку я плюнул.,3,Евгений Кукаркин,Уборщики ада,114
3,"Мало  того,  что  не  принял  ее  из  рук дрожащего  мальчика,  но еще ему дал пинка.",4,Евгений Кукаркин,Уборщики ада,114
4,"На звонки из военкомата, отвечал голосом Брежнева, что объект выехал в  неизвестном  направлении.",5,Евгений Кукаркин,Уборщики ада,114
5,"На  вторую повестку, даже двери не открыл посыльному.",6,Евгений Кукаркин,Уборщики ада,114
6,"А на третью...       - Костя, - меня встретила соседка Лизка у соседней к дому подворотни, - не ходи домой, там засада.",7,Евгений Кукаркин,Уборщики ада,114
7,Лизка  девочка  хоть куда.,8,Евгений Кукаркин,Уборщики ада,114
8,Фигурка прелесть.,9,Евгений Кукаркин,Уборщики ада,114
9,На третьем курсе филфака и явно неравнодушна ко мне.,10,Евгений Кукаркин,Уборщики ада,114
10,- Откуда ты знаешь?,11,Евгений Кукаркин,Уборщики ада,114
11,"- Милиция нас расспрашивала о тебе, а потом спрятались в парадной.",12,Евгений Кукаркин,Уборщики ада,114
0,    СВАДЬБА       В  первый  раз  жизни  в  католической  церкви.,1,Евгений Кукаркин,Одиссея подводного диверсанта,115
1,"Сегодня меня, взрослого человека, не крещеного и без веры в бога, обращают  в  католичество.",2,Евгений Кукаркин,Одиссея подводного диверсанта,115
2,"И  все потому,  что  отец  Розы,  дон  Диего, уперся и не разрешает жениться на его дочери без креста на шее.",3,Евгений Кукаркин,Одиссея подводного диверсанта,115
3,Что только не сделаешь ради  любви.,4,Евгений Кукаркин,Одиссея подводного диверсанта,115
4,"Будущий  зять любит  военную  форму  и  упросил  меня,  чтобы  я надел парадный офицерский мундир, тот самый, который надевал на  приеме  в  Бизерте  и  обязательно  с кортиком.",5,Евгений Кукаркин,Одиссея подводного диверсанта,115
5,"Теперь  стою  перед поникшем на кресте боге, сияя золотом погон и пояса и слушаю речи пастора.",6,Евгений Кукаркин,Одиссея подводного диверсанта,115
6,"Сзади сидят на креслах зрители, приглашенные гости  и  зеваки,  впереди гордый,  седой  дон  и  его  прекрасная дочь.",7,Евгений Кукаркин,Одиссея подводного диверсанта,115
0,    * ЧАСТЬ ПЕРВАЯ *   НЕ ВСЕ ОТДЫХАЮТ В КРЫМУ        Все  поздравляли  меня  с  успешной  защитой  диссертации.,1,Евгений Кукаркин,Дельфинарий,116
1,"Знакомые  и незнакомые люди говорили комплементы, вяло жали ладонь и спешно направлялись к выходу.",2,Евгений Кукаркин,Дельфинарий,116
2,"Вдруг, жесткая рука, удачно схватив ладонь, тряханула ее так,  что у  меня чуть слезы не брызнули из глаз.",3,Евгений Кукаркин,Дельфинарий,116
3,"Передо мной стоял крепкий незнакомец с жестким выражением лица,  короткой  стрижкой  и  глубокими  пронзительными серыми глазами.",4,Евгений Кукаркин,Дельфинарий,116
4,"- Вы мне понравились, молодой человек, - заскрипел жесткий голос.",5,Евгений Кукаркин,Дельфинарий,116
5,"- Простите, а разве моя работа не заслуживает у вас внимания?",6,Евгений Кукаркин,Дельфинарий,116
6,- Чушь.,7,Евгений Кукаркин,Дельфинарий,116
7,Так себе работенка.,8,Евгений Кукаркин,Дельфинарий,116
8,Эти ваши научные жлобы ничего не понимают и не мыслят в настоящей науке.,9,Евгений Кукаркин,Дельфинарий,116
0,    * ЧАСТЬ ПЕРВАЯ.,1,Евгений Кукаркин,Любой ценой,117
1,СВОЕ ДРУГИМ НЕ ОТДАДИМ *         Моя  жена  сошла  с ума.,2,Евгений Кукаркин,Любой ценой,117
2,Совсем взбесилась без мужа.,3,Евгений Кукаркин,Любой ценой,117
3,"Только прикатил из Серного Ледовитого Океана, как она мне заявила.",4,Евгений Кукаркин,Любой ценой,117
4,"- Очень хорошо, что ты прибыл сегодня.",5,Евгений Кукаркин,Любой ценой,117
5,"Я тут без тебя документы  в  суд подала,  на  развод.",6,Евгений Кукаркин,Любой ценой,117
6,"Так что я точно подгадала, сегодня как раз и надо идти, наш судья работает в нечетные дни.",7,Евгений Кукаркин,Любой ценой,117
7,Я чуть не упал у входа.,8,Евгений Кукаркин,Любой ценой,117
8,"- Варька, ты что?",9,Евгений Кукаркин,Любой ценой,117
9,Белены объелась?,10,Евгений Кукаркин,Любой ценой,117
10,"- Ах, ты меня еще и оскорбляешь.",11,Евгений Кукаркин,Любой ценой,117
11,"Мало того, что я его годами  не  вижу, так  еще  и  по  его приезде, он мне сцены все время устраивает.",12,Евгений Кукаркин,Любой ценой,117
0,        Наконец-то  мы  прибыли  в  Малакку.,1,Евгений Кукаркин,Горечь победы,118
1,"Напряжение перехода сразу спало и матросы загомонили,  пытаясь  правдами  и  неправдами  выбраться  на  палубу посмотреть  на незнакомый город-порт.",2,Евгений Кукаркин,Горечь победы,118
2,Я привел себя в порядок и отправился в город  на   представление   командующему   объединенными   силами   адмиралу Макрейзеру.,3,Евгений Кукаркин,Горечь победы,118
3,Мне  быстро  подсказали  куда проехать.,4,Евгений Кукаркин,Горечь победы,118
4,"Здание штаба ВМОС находилось на горе, откуда весь город был как на ладони.",5,Евгений Кукаркин,Горечь победы,118
5,Адмирал встретил тепло и непринужденно.,6,Евгений Кукаркин,Горечь победы,118
6,- Хотите что-нибудь горяченькое.,7,Евгений Кукаркин,Горечь победы,118
7,У меня есть отличный кофе.,8,Евгений Кукаркин,Горечь победы,118
8,"Сам  жарил, сам и варил.",9,Евгений Кукаркин,Горечь победы,118
9,"- Спасибо, господин адмирал.",10,Евгений Кукаркин,Горечь победы,118
10,Не надо.,11,Евгений Кукаркин,Горечь победы,118
11,Уж больно очень жарко.,12,Евгений Кукаркин,Горечь победы,118
12,"- Давно   ждем  вас,  господин  капитан  третьего  ранга.",13,Евгений Кукаркин,Горечь победы,118
0,                       Посвящается Виктору К. неудачливому удачнику.,1,Евгений Кукаркин,Бизерта-X,119
1,Тунис называют африканскими воротами в Средиземное море.,2,Евгений Кукаркин,Бизерта-X,119
2,"В  отличие от других стран Африки, побережье Туниса имеет хорошие, естественные гавани, что   позволяет   связывать   западную   Сахару  и  приатлантические  районы Тропической Африки с Ближним Востоком и Европой.",3,Евгений Кукаркин,Бизерта-X,119
3,Страны и народы.,4,Евгений Кукаркин,Бизерта-X,119
4,Москва.,5,Евгений Кукаркин,Бизерта-X,119
5,"""Мысль"" 82 г. ст.230    Касатки        Касатки вели себя неправильно.",6,Евгений Кукаркин,Бизерта-X,119
6,"Уже год плавая в Средиземном море, я  ни разу  не  видел  их  в  таком возбужденном состоянии.",7,Евгений Кукаркин,Бизерта-X,119
7,"Обычно мы встречались, подготавливались к стычке и мирно расходились.",8,Евгений Кукаркин,Бизерта-X,119
8,"То ли им не нравились наши прорезиненные костюмы, то  ли  их  отпугивал запах наших вонючих шлемов, с нелепыми наушниками, но сегодня... Сегодня они собирались нападать.",9,Евгений Кукаркин,Бизерта-X,119
